Residential;Non renovated;Renovated;First year;End year
1200-1918;164,5;95,9;1200;1918
1919-1948;148,9;83,7;1919;1948
1949-1957;165,3;111,5;1949;1957
1958-1968;163,4;117,4;1958;1968
1969-1978;139,5;90,4;1969;1978
1949-1978;156,1;106,4;1949;1978
1979-1983;108,9;74,9;1979;1983
1984-1994;120,4;94,4;1984;1994
1995-2001;110,5;97,6;1995;2001
2002-2009;78,7;72,9;2002;2009
2010-2015;83,0;70,2;2010;2015
2016-9999;70,8;63,9;2016;9999
1979-1986;114,7;84,7;1979;1986
1987-1990;120,4;94,4;1987;1990
1991-1995;120,4;94,4;1991;1995
1996-2000;110,5;97,6;1996;2000
2001-2004;78,7;72,9;2001;2004
2005-2008;78,7;72,9;2005;2008
0001-1859;167,3;93,0;0001;1859
0001-9999;126,5;86,4;0001;9999
