Parent type;Building type;Building sector;;;
Activity;Activity;Commercial and traffic;;;
Activity;Bowling alley;Commercial and traffic;;;
Activity;Indoor swimming pool;Commercial and traffic;;;
Activity;Pools;Commercial and traffic;;;
Activity;Sanatorium;Commercial and traffic;;;
Activity;Sport purposes;Commercial and traffic;;;
Activity;Sports field;Commercial and traffic;;;
Activity;Sports hall;Commercial and traffic;;;
Activity;Swimming baths;Commercial and traffic;;;
Administrative;Administration;Public buildings;;;
Administrative;Administrative;Public buildings;;;
Commercial;Broadcasting;Commercial and traffic;;;
Commercial;Business;Commercial and traffic;;;
Commercial;Campsite;Commercial and traffic;;;
Administrative;Court;Public buildings;;;
Commercial;Credit institution;Commercial and traffic;;;
Administrative;Customs office;Public buildings;;;
Administrative;District administration;Public buildings;;;
Administrative;District government;Public buildings;;;
Administrative;Embassy or consulate;Public buildings;;;
Administrative;Funeral parlor;Public buildings;;;
Administrative;Guildhall;Public buildings;;;
Commercial;Insurance;Commercial and traffic;;;
Administrative;Library;Public buildings;;;
Administrative;Museum;Public buildings;;;
Commercial;Office;Commercial and traffic;;;
Administrative;Parliament;Public buildings;;;
Administrative;Police station;Public buildings;;;
Administrative;Post office;Public buildings;;;
Administrative;Public;Public buildings;;;
Administrative;Tax office;Public buildings;;;
Administrative;Tourist information centre;Public buildings;;;
Administrative;Traffic assets office;Public buildings;;;
Agrarian and forestry;Agrarian and forestry;Commercial and traffic;;;
Agrarian and forestry;Agrarian- and forestry;Commercial and traffic;;;
Agrarian and forestry;Arboretum;Commercial and traffic;;;
Others;Barn;;;;
Agrarian and forestry;Botanical show house;Commercial and traffic;;;
Agrarian and forestry;Bothy;Commercial and traffic;;;
Agrarian and forestry;Equestrian hall;Commercial and traffic;;;
Others;Glass house;;;;
Others;Green house;;;;
Others;Moveable glass house;;;;
Others;Stall;;;;
Agrarian and forestry;Zoo;Commercial and traffic;;;
Assembly;Assembly;Public buildings;;;
Commercial;Casino;Commercial and traffic;;;
Assembly;Cemetery;Public buildings;;;
Religious;Chapel;Public buildings;;;
Religious;Church;Public buildings;;;
Commercial;Cinema;Commercial and traffic;;;
Religious;Community center;Public buildings;;;
Commercial;Concert hall;Commercial and traffic;;;
Religious;Convent;Public buildings;;;
Assembly;Cultural purposes;Public buildings;;;
Assembly;Function room;Public buildings;;;
Religious;Mosque;Public buildings;;;
Religious;Place of worship;Public buildings;;;
Commercial;Recreational site;Commercial and traffic;;;
Religious;Religious;Public buildings;;;
Other residential;Seniors centre;Residential;;;
Assembly;Social purposes;Public buildings;;;
Religious;Synagogue;Public buildings;;;
Religious;Temple;Public buildings;;;
Assembly;Theatre or opera;Public buildings;;;
Assembly;Waiting hall;Public buildings;;;
Assembly;Youth centre;Public buildings;;;
Commercial;Cantine;Commercial and traffic;;;
Commercial;Catering;Commercial and traffic;;;
Commercial;Restaurant;Commercial and traffic;;;
Commercial;Commercial;Commercial and traffic;;;
Commercial;Commercial building;Commercial and traffic;;;
Commercial;Department store;Commercial and traffic;;;
Commercial;Kiosk;Commercial and traffic;;;
Commercial;Pharmacy;Commercial and traffic;;;
Educational;College or university;Public buildings;;;
Educational;Comprehensive school;Public buildings;;;
Educational;Education and research;Public buildings;;;
Educational;Educational;Public buildings;;;
Educational;Kindergarten or nursery;Public buildings;;;
Educational;Research establishment;Public buildings;;;
Educational;Research purposes;Public buildings;;;
Educational;Vocational school;Public buildings;;;
Accommodation;Accommodation;Commercial and traffic;;;
Others;Alpine cabin;;;;
Other residential;Asylum seekers home;Residential;;;
Others;Barracks;;;;
Accommodation;Forester's lodge;Commercial and traffic;;;
Other residential;Habitation;Residential;;;
Other residential;Holiday house;Residential;;;
Other residential;Homeless shelter;Residential;;;
Accommodation;Hostel;Commercial and traffic;;;
Accommodation;Hotel;Commercial and traffic;;;
Accommodation;Hunting lodge;Commercial and traffic;;;
Accommodation;Multi-family accommodation;Commercial and traffic;;;
Multi-family house;Multi-family house;Residential;;;
Other residential;Penitentiary or prison;Residential;;;
Other residential;Residential;Residential;;;
Accommodation;Single-family accommodation;Commercial and traffic;;;
Single-family house;Single-family house;Residential;;;
Other residential;Summer house;Residential;;;
Accommodation;Youth hostel;Commercial and traffic;;;
Healthcare;Healing centre or care home;Commercial and traffic;;;
Healthcare;Health care;Commercial and traffic;;;
Healthcare;Health centre or outpatients clinic;Commercial and traffic;;;
Healthcare;Healthcare;Commercial and traffic;;;
Healthcare;Hospital;Commercial and traffic;;;
Healthcare;Recuperation purposes;Commercial and traffic;;;
Industrial;Bucket elevator;Industry and production;;;
Industrial;Factory;Industry and production;;;
Industrial;Industrial;Industry and production;;;
Industrial;Mill;Industry and production;;;
Industrial;Miscellaneous industrial;Industry and production;;;
Industrial;Quarry;Industry and production;;;
Industrial;Salt works;Industry and production;;;
