Dataset;;;;;;
;;;;;;
;LOOKUP TABLES;;;;;
;;;;;;
;;Building renovation;;;;
;;;;;;
;;Residential;Non renovated;Renovated;First year;End year
;;1200-1918;164,5;95,9;1200;1918
;;1919-1948;148,9;83,7;1919;1948
;;1949-1957;165,3;111,5;1949;1957
;;1958-1968;163,4;117,4;1958;1968
;;1969-1978;139,5;90,4;1969;1978
;;1949-1978;156,1;106,4;1949;1978
;;1979-1983;108,9;74,9;1979;1983
;;1984-1994;120,4;94,4;1984;1994
;;1995-2001;110,5;97,6;1995;2001
;;2002-2009;78,7;72,9;2002;2009
;;2010-2015;83,0;70,2;2010;2015
;;2016-9999;70,8;63,9;2016;9999
;;1979-1986;114,7;84,7;1979;1986
;;1987-1990;120,4;94,4;1987;1990
;;1991-1995;120,4;94,4;1991;1995
;;1996-2000;110,5;97,6;1996;2000
;;2001-2004;78,7;72,9;2001;2004
;;2005-2008;78,7;72,9;2005;2008
;;0001-1859;167,3;93,0;0001;1859
;;0001-9999;126,5;86,4;0001;9999
;;;;;;
;;Multi-family houses;Non renovated;Renovated ;First year;End year
;;1200-1918;131,8;83,1;1200;1918
;;1919-1948;139,5;77,2;1919;1948
;;1949-1957;138,0;78,7;1949;1957
;;1958-1968;109,2;65,5;1958;1968
;;1969-1978;115,3;72,1;1969;1978
;;1949-1978;120,8;72,1;1949;1978
;;1979-1983;107,7;74,9;1979;1983
;;1984-1994;100,4;72,3;1984;1994
;;1995-2001;86,7;69,4;1995;2001
;;2002-2009;62,3;59,5;2002;2009
;;2010-2015;72,7;51;2010;2015
;;2016-9999;69,0;52,6;2016;9999
;;1979-1986;104,1;73,6;1979;1986
;;1987-1990;100,4;72,3;1987;1990
;;1991-1995;100,4;72,3;1991;1995
;;1996-2000;86,7;69,4;1996;2000
;;2001-2004;62,3;59,5;2001;2004
;;2005-2008;62,3;59,5;2005;2008
;;0001-9999;106,7;69,2;0001;9999
;;;;;;
;;;;;;
;;Energy systems;;;;
;;;;;;
;;Energy systems;Energy carrier;Efficiency ratio;;
;;Gas boiler;Natural gas;90%;;
;;Oil boiler;Fuel oil;90%;;
;;Electric heating;Electricity;100%;;
;;Ground source heat pump;Electricity;400%;;
;;Water source heat pump;Electricity;400%;;
;;Air source heat pump;Electricity;300%;;
;;Heat transfer station;District heat;100%;;
;;Wood logs boiler;Wood logs;90%;;
;;Wood pellets boiler;Wood pellets;90%;;
;;Wood chips boiler;Wood chips;90%;;
;;Biogas boiler;Biogas;90%;;
;;Chiller;Electricity;1300%;;
;;;;;;
;;;;;;
;;Emissions factor;;;;
;;;;;;
;;Energy carriers;GHG emissions (kgCO2/kWh);Annual linear decrease rate (%);;
;;Natural gas;0,231;0%;;
;;Fuel oil;0,31;0%;;
;;Electricity;0,505;5%;;
;;Wood;0,015;0%;;
;;Wood logs;0,017;0%;;
;;Wood pellets;0,017;0%;;
;;Wood chips;0,017;0%;;
;;District heat;0,161;0%;;
;;Biogas;0,025;0%;;
;;;;;;
